Date,Store,Product,Sales,Price
2023-01-01,Store_A,Milk,59,43
2023-01-02,Store_A,Milk,53,43
2023-01-03,Store_A,Milk,50,43
2023-01-04,Store_A,Milk,56,43
2023-01-05,Store_A,Milk,68,43
2023-01-06,Store_A,Milk,70,43
2023-01-07,Store_A,Milk,71,43
2023-01-08,Store_A,Milk,66,43
2023-01-09,Store_A,Milk,64,43
2023-01-10,Store_A,Milk,75,43
2023-01-11,Store_A,Milk,69,43
2023-01-12,Store_A,Milk,70,43
2023-01-13,Store_A,Milk,68,43
2023-01-14,Store_A,Milk,66,43
2023-01-15,Store_A,Milk,70,43
2023-01-16,Store_A,Milk,72,43
2023-01-17,Store_A,Milk,69,43
2023-01-18,Store_A,Milk,68,43
2023-01-19,Store_A,Milk,67,43
2023-01-20,Store_A,Milk,73,43
2023-01-21,Store_A,Milk,71,43
2023-01-22,Store_A,Milk,71,43
2023-01-23,Store_A,Milk,71,43
2023-01-24,Store_A,Milk,73,43
2023-01-25,Store_A,Milk,61,43
2023-01-26,Store_A,Milk,71,43
2023-01-27,Store_A,Milk,73,43
2023-01-28,Store_A,Milk,69,43
2023-01-29,Store_A,Milk,71,43
2023-01-30,Store_A,Milk,57,43
2023-01-31,Store_A,Milk,67,43
2023-02-01,Store_A,Milk,54,43
2023-02-02,Store_A,Milk,60,43
2023-02-03,Store_A,Milk,61,43
2023-02-04,Store_A,Milk,67,43
2023-02-05,Store_A,Milk,59,43
2023-02-06,Store_A,Milk,53,43
2023-02-07,Store_A,Milk,64,43
2023-02-08,Store_A,Milk,49,43
2023-02-09,Store_A,Milk,53,43
2023-02-10,Store_A,Milk,51,43
2023-02-11,Store_A,Milk,47,43
2023-02-12,Store_A,Milk,58,43
2023-02-13,Store_A,Milk,50,43
2023-02-14,Store_A,Milk,49,43
2023-02-15,Store_A,Milk,49,43
2023-02-16,Store_A,Milk,53,43
2023-02-17,Store_A,Milk,58,43
2023-02-18,Store_A,Milk,44,43
2023-02-19,Store_A,Milk,46,43
2023-02-20,Store_A,Milk,49,43
2023-02-21,Store_A,Milk,59,43
2023-02-22,Store_A,Milk,53,43
2023-02-23,Store_A,Milk,52,43
2023-02-24,Store_A,Milk,59,43
2023-02-25,Store_A,Milk,62,43
2023-02-26,Store_A,Milk,47,43
2023-02-27,Store_A,Milk,60,43
2023-02-28,Store_A,Milk,52,43
2023-03-01,Store_A,Milk,56,43
2023-03-02,Store_A,Milk,63,43
2023-03-03,Store_A,Milk,67,43
2023-03-04,Store_A,Milk,70,43
2023-03-05,Store_A,Milk,59,43
2023-03-06,Store_A,Milk,65,43
2023-03-07,Store_A,Milk,59,43
2023-03-08,Store_A,Milk,62,43
2023-03-09,Store_A,Milk,71,43
2023-03-10,Store_A,Milk,72,43
2023-03-11,Store_A,Milk,61,43
2023-03-12,Store_A,Milk,79,43
2023-03-13,Store_A,Milk,81,43
2023-03-14,Store_A,Milk,71,43
2023-03-15,Store_A,Milk,65,43
2023-03-16,Store_A,Milk,79,43
2023-03-17,Store_A,Milk,82,43
2023-03-18,Store_A,Milk,82,43
2023-03-19,Store_A,Milk,68,43
2023-03-20,Store_A,Milk,68,43
2023-03-21,Store_A,Milk,69,43
2023-03-22,Store_A,Milk,79,43
2023-03-23,Store_A,Milk,75,43
2023-03-24,Store_A,Milk,73,43
2023-03-25,Store_A,Milk,66,43
2023-03-26,Store_A,Milk,78,43
2023-03-27,Store_A,Milk,70,43
2023-03-28,Store_A,Milk,69,43
2023-03-29,Store_A,Milk,76,43
2023-03-30,Store_A,Milk,75,43
2023-03-31,Store_A,Milk,73,43
2023-04-01,Store_A,Milk,66,43
2023-04-02,Store_A,Milk,74,43
2023-04-03,Store_A,Milk,59,43
2023-04-04,Store_A,Milk,63,43
2023-04-05,Store_A,Milk,75,43
2023-04-06,Store_A,Milk,61,43
2023-04-07,Store_A,Milk,61,43
2023-04-08,Store_A,Milk,65,43
2023-04-09,Store_A,Milk,67,43
2023-04-10,Store_A,Milk,67,43
2023-04-11,Store_A,Milk,66,43
2023-04-12,Store_A,Milk,54,43
2023-04-13,Store_A,Milk,58,43
2023-04-14,Store_A,Milk,63,43
2023-04-15,Store_A,Milk,68,43
2023-04-16,Store_A,Milk,53,43
2023-04-17,Store_A,Milk,67,43
2023-04-18,Store_A,Milk,67,43
2023-04-19,Store_A,Milk,67,43
2023-04-20,Store_A,Milk,64,43
2023-04-21,Store_A,Milk,58,43
2023-04-22,Store_A,Milk,68,43
2023-04-23,Store_A,Milk,56,43
2023-04-24,Store_A,Milk,51,43
2023-04-25,Store_A,Milk,64,43
2023-04-26,Store_A,Milk,59,43
2023-04-27,Store_A,Milk,56,43
2023-04-28,Store_A,Milk,63,43
2023-04-29,Store_A,Milk,54,43
2023-04-30,Store_A,Milk,59,43
2023-05-01,Store_A,Milk,55,43
2023-05-02,Store_A,Milk,56,43
2023-05-03,Store_A,Milk,62,43
2023-05-04,Store_A,Milk,62,43
2023-05-05,Store_A,Milk,65,43
2023-05-06,Store_A,Milk,59,43
2023-05-07,Store_A,Milk,62,43
2023-05-08,Store_A,Milk,65,43
2023-05-09,Store_A,Milk,68,43
2023-05-10,Store_A,Milk,71,43
2023-05-11,Store_A,Milk,65,43
2023-05-12,Store_A,Milk,76,43
2023-05-13,Store_A,Milk,77,43
2023-05-14,Store_A,Milk,81,43
2023-05-15,Store_A,Milk,70,43
2023-05-16,Store_A,Milk,78,43
2023-05-17,Store_A,Milk,82,43
2023-05-18,Store_A,Milk,71,43
2023-05-19,Store_A,Milk,82,43
2023-05-20,Store_A,Milk,90,43
2023-05-21,Store_A,Milk,85,43
2023-05-22,Store_A,Milk,81,43
2023-05-23,Store_A,Milk,78,43
2023-05-24,Store_A,Milk,73,43
2023-05-25,Store_A,Milk,84,43
2023-05-26,Store_A,Milk,75,43
2023-05-27,Store_A,Milk,75,43
2023-05-28,Store_A,Milk,75,43
2023-05-29,Store_A,Milk,76,43
2023-05-30,Store_A,Milk,71,43
2023-05-31,Store_A,Milk,81,43
2023-06-01,Store_A,Milk,82,43
2023-06-02,Store_A,Milk,78,43
2023-06-03,Store_A,Milk,74,43
2023-06-04,Store_A,Milk,83,43
2023-06-05,Store_A,Milk,73,43
2023-06-06,Store_A,Milk,76,43
2023-06-07,Store_A,Milk,72,43
2023-06-08,Store_A,Milk,72,43
2023-06-09,Store_A,Milk,65,43
2023-06-10,Store_A,Milk,73,43
2023-06-11,Store_A,Milk,62,43
2023-06-12,Store_A,Milk,60,43
2023-06-13,Store_A,Milk,67,43
2023-06-14,Store_A,Milk,64,43
2023-06-15,Store_A,Milk,74,43
2023-06-16,Store_A,Milk,71,43
2023-06-17,Store_A,Milk,73,43
2023-06-18,Store_A,Milk,67,43
2023-06-19,Store_A,Milk,60,43
2023-06-20,Store_A,Milk,72,43
2023-06-21,Store_A,Milk,56,43
2023-06-22,Store_A,Milk,59,43
